Date,LY11
1961-01-01,9.292352295,
1962-01-01,8.569848633,
1963-01-01,8.971032715,
1964-01-01,8.823114014,
1965-01-01,9.205407715,
1966-01-01,9.131097412,
1967-01-01,9.127862549,
1968-01-01,9.097375488,
1969-01-01,8.692041016,
1970-01-01,8.73092041,
1971-01-01,8.325585938,
1972-01-01,8.935327148,
1973-01-01,9.436090088,
1974-01-01,8.81685791,
1975-01-01,8.695031738,
1976-01-01,9.267572021,
1977-01-01,8.030389404,
1978-01-01,9.148400879,
1979-01-01,8.883935547,
1980-01-01,9.063928223,
1981-01-01,8.535943604,
1982-01-01,8.884606934,
1983-01-01,9.135766602,
1984-01-01,8.783044434,
1985-01-01,9.31182251,
1986-01-01,9.328973389,
1987-01-01,9.291864014,
1988-01-01,8.95949707,
1989-01-01,9.092889404,
1990-01-01,9.744592285,
1991-01-01,9.206658936,
1992-01-01,9.533502197,
1993-01-01,9.601037598,
1994-01-01,9.832879639,
1995-01-01,9.482080078,
1996-01-01,9.312310791,
1997-01-01,9.179284668,
1998-01-01,9.338891602,
1999-01-01,9.166101074,
2000-01-01,9.335992432,
2001-01-01,9.584863281,
2002-01-01,9.404077148,
2003-01-01,9.679040527,
2004-01-01,9.392419434,
2005-01-01,8.972131348,
2006-01-01,9.415643311,
2007-01-01,9.420343018,
2008-01-01,9.60390625,
2009-01-01,9.244561768,
2010-01-01,9.692681885,
2011-01-01,9.943994141,
2012-01-01,9.272790527,
2013-01-01,10.102593994,
2014-01-01,9.354150391,
2015-01-01,9.691705322,
2016-01-01,10.201379395,
2017-01-01,10.102624512,
2018-01-01,9.899346924,
2019-01-01,10.382745361,
2020-01-01,8.986291504,
2021-01-01,9.232202148,
2022-01-01,9.60189209,
2023-01-01,10.03157959,
2024-01-01,10.260125732,
2025-01-01,9.985437012,
2026-01-01,9.408074951,
2027-01-01,9.930505371,
2028-01-01,10.059442139,
2029-01-01,10.204614258,
2030-01-01,10.143640137,
2031-01-01,10.075219727,
2032-01-01,10.446954346,
2033-01-01,10.276513672,
2034-01-01,10.319421387,
2035-01-01,10.345941162,
2036-01-01,10.121362305,
2037-01-01,10.065484619,
2038-01-01,10.705102539,
2039-01-01,10.355981445,
2040-01-01,10.462762451,
2041-01-01,10.693566895,
2042-01-01,10.283532715,
2043-01-01,10.564141846,
2044-01-01,10.450067139,
2045-01-01,10.630883789,
2046-01-01,10.782891846,
2047-01-01,9.882073975,
2048-01-01,10.934197998,
2049-01-01,11.016992188,
2050-01-01,10.444512939,
2051-01-01,10.632318115,
2052-01-01,11.334558105,
2053-01-01,11.150415039,
2054-01-01,11.213037109,
2055-01-01,11.120233154,
2056-01-01,11.174859619,
2057-01-01,11.537042236,
2058-01-01,11.193200684,
2059-01-01,10.874414062,
2060-01-01,10.686975098,
2061-01-01,11.188562012,
2062-01-01,11.404962158,
2063-01-01,11.845910645,
2064-01-01,11.458917236,
2065-01-01,11.602563477,
2066-01-01,11.814477539,
2067-01-01,11.105126953,
2068-01-01,11.183374023,
2069-01-01,11.436364746,
2070-01-01,11.466271973,
2071-01-01,11.763360596,
2072-01-01,11.571405029,
2073-01-01,11.345697021,
2074-01-01,11.210015869,
2075-01-01,11.568475342,
2076-01-01,11.221459961,
2077-01-01,11.827294922,
2078-01-01,11.573266602,
2079-01-01,11.694665527,
2080-01-01,11.863397217,
2081-01-01,12.157983398,
2082-01-01,12.210168457,
2083-01-01,11.854882812,
2084-01-01,11.76192627,
2085-01-01,11.577142334,
2086-01-01,11.745965576,
2087-01-01,12.287225342,
2088-01-01,12.2534729,
2089-01-01,12.778405762,
2090-01-01,12.19677124,
2091-01-01,12.506738281,
2092-01-01,12.107568359,
2093-01-01,12.227227783,
2094-01-01,12.255700684,
2095-01-01,11.931939697,
2096-01-01,11.922052002,
2097-01-01,11.874719238,
2098-01-01,11.913964844,
