Date,BY11
2069-01-01,1152.4960432,
2070-01-01,1122.3160912,
2071-01-01,1144.0191664,
2072-01-01,1122.8206672,
2073-01-01,1246.6530784,
2074-01-01,1146.6902656,
2075-01-01,1179.8755984,
2076-01-01,1300.5007984,
2077-01-01,1243.6256224,
2078-01-01,1302.4181872,
2079-01-01,1156.0596112,
2080-01-01,1290.5764192,
2081-01-01,1222.54696,
2082-01-01,1293.329512,
2083-01-01,1339.8892624,
2084-01-01,1151.0296192,
2085-01-01,1125.2016352,
2086-01-01,1223.6696416,
2087-01-01,1101.858688,
2088-01-01,1329.4130032,
2089-01-01,1124.8515856,
2090-01-01,1329.2364016,
2091-01-01,1276.773112,
2092-01-01,1297.6909408,
2093-01-01,1282.4716672,
2094-01-01,1317.5523136,
2095-01-01,1286.375824,
2096-01-01,1154.9558512,
2097-01-01,1201.7710432,
2098-01-01,1280.4754384,
